"Authors","Title","Year","Source title","DOI","Abstract","Author Keywords"
"Atkinson R.","Editorial 28(8) AJET's ranking: Citation-based bibliometrics","2012","AUSTRALASIAN JOURNAL OF EDUCATIONAL TECHNOLOGY","N/A","N/A","N/A"
"Wester K.","Why Publish?","2016","WORLD NEUROSURGERY","10.1016/j.wneu.2016.03.054","N/A","Bibliometrics; H-index; Neurosurgery; United Kingdom"
"Bornmann L.; Ganser C.; Tekles A.","Simulation of the h index use at university departments within the bibliometrics-based heuristics framework: Can the indicator be used to compare individual researchers?","2022","JOURNAL OF INFORMETRICS","10.1016/j.joi.2021.101237","Bornmann and Marewski (2019) have adapted the concept of fast-and-frugal heuristics to scientometrics in order to study and guide the application of bibliometrics in research evaluation. Bibliometrics-based heuristics (BBHs) are simple decision strategies for evaluative purposes based on bibliometric indicators. One aim of the heuristics research program is to develop methods for studying the use of BBHs in research evaluation. Many deans probably evaluate rough performance differences between researchers in their departments based on h index values. Bornmann, Ganser, Tekles, and Leydesdorff (2020) developed the Stata command h_index and R package hindex which can be deployed in a fast and frugal way to decide on the following question: can the h index be used to compare all researchers in a university department, or are the citation cultures so different between sub-groups in the department that not all researchers can be compared with one another? The command and package can be used for simulations that might answer the question before extensive processes of data collection start. If the citation cultures are very different in the sub-groups, the researchers should be compared with field-normalized indicators (instead of the h index). This paper shows how the h_index command and hindex package can be employed for the decision on the h index use in the BBH.","Bibliometrics; Bibliometrics-based heuristics; Bibliometrics-based decision trees; h index"
"Price J.H.; Jeffrey J.D.","Journal impact factor:: Bibliometrics and the <i>Journal of School Health</i>","2006","JOURNAL OF SCHOOL HEALTH","10.1111/j.1746-1561.2006.00084.x","N/A","N/A"
"Chiu D.K.W.; Ho K.K.W.","Editorial: Special selection on current bibliometrics and reviews","2024","LIBRARY HI TECH","10.1108/LHT-02-2024-591","N/A","N/A"
"Ioannidis J.P.A.; Boyack K.W.; Small H.; Sorensen A.A.; Klavans R.","Bibliometrics: Is your most cited work your best?","2014","NATURE","10.1038/514561a","N/A","N/A"
"V.O.V.E.R.E.N.E.. O.","BIBLIOMETRICS AS A STRUCTURAL PART OF METHODOLOGY INFORMATICS","1985","NAUCHNO-TEKHNICHESKAYA INFORMATSIYA SERIYA 1-ORGANIZATSIYA I METODIKA INFORMATSIONNOI RABOTY","N/A","N/A","N/A"
"Chiu D.K.W.; Ho K.K.W.","Editorial: Special selection on bibliometrics and literature review","2022","LIBRARY HI TECH","10.1108/LHT-06-2022-510","N/A","N/A"
"Trueger N.S.; Yilmaz Y.; Chan T.M.","Leveraging Tweets, Citations, and Social Networks to Improve Bibliometrics","2020","JAMA NETWORK OPEN","10.1001/jamanetworkopen.2020.10911","N/A","N/A"
"Miau S.; Yang J.M.","Bibliometrics-based evaluation of the Blockchain research trend: 2008-March 2017","2018","TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT","10.1080/09537325.2018.1434138","The aim of this study is to review the literature growth and author productivity of Blockchain technology research from 2008 to March 2017. 801 articles were retrieved from Scopus database and analyzed with bibliometrics approach using different perspective views. The author productivity was derived using the Lotka's law and K-S test was performed to verify the reliability. The result indicates that the number of literatures on Blockchain is still increasing. Three stages of Blockchain research change were discovered. In 2008 to 2013, the topics were related to the Bitcoin and cryptocurrencies; in 2014 to 2015, the number of Bitcoin literatures grew rapidly; after 2016, a lot of researchers are paying attention to the techniques of Blockchain and smart contract. Moreover, the distribution of author productivity meets the study of Lotka. This study presents state-of-the-art and abstract the trend of Blockchain research regarding several perspectives of bibliometrics analysis.","Blockchain; bibliometrics; Lotka's law"
"Scharnhorst A.","Beyond Bibliometrics: Harnessing Multidimensional Indicators of Scholarly Impact","2015","SCIENCE AND PUBLIC POLICY","10.1093/scipol/scu089","N/A","N/A"
"P.E.R.I.T.Z.. B.C.","BIBLIOMETRICS - AN ANNOTATED-BIBLIOGRAPHY, 1970-1990 - SELLEN,MK","1994","LIBRARY QUARTERLY","N/A","N/A","N/A"
"Abramo G.; D'Angelo C.A.","Evaluating research: from informed peer review to bibliometrics","2011","SCIENTOMETRICS","10.1007/s11192-011-0352-7","National research assessment exercises are becoming regular events in ever more countries. The present work contrasts the peer-review and bibliometrics approaches in the conduct of these exercises. The comparison is conducted in terms of the essential parameters of any measurement system: accuracy, robustness, validity, functionality, time and costs. Empirical evidence shows that for the natural and formal sciences, the bibliometric methodology is by far preferable to peer-review. Setting up national databases of publications by individual authors, derived from Web of Science or Scopus databases, would allow much better, cheaper and more frequent national research assessments.","Decision support systems; Research assessment; Peer review; Bibliometrics; Research productivity"
"Singleton A.","Bibliometrics and Citation Analysis; from the Science Citation Index to Cybermetrics","2010","LEARNED PUBLISHING","10.1087/20100312","N/A","N/A"
"Kirby A.","The semantic web, bibliometrics and <i>Current Research on Cities</i>","2012","CITIES","10.1016/j.cities.2012.06.014","N/A","N/A"
"Davidson P.M.; Newton P.J.; Ferguson C.; Daly J.; Elliott D.; Homer C.; Duffield C.; Jackson D.","Rating and Ranking the Role of Bibliometrics and Webometrics in Nursing and Midwifery","2014","SCIENTIFIC WORLD JOURNAL","10.1155/2014/135812","Background. Bibliometrics are an essential aspect of measuring academic and organizational performance. Aim. This review seeks to describe methods for measuring bibliometrics, identify the strengths and limitations of methodologies, outline strategies for interpretation, summarise evaluation of nursing and midwifery performance, identify implications for metric of evaluation, and specify the implications for nursing and midwifery and implications of social networking for bibliometrics and measures of individual performance. Method. A review of electronic databases CINAHL, Medline, and Scopus was undertaken using search terms such as bibliometrics, nursing, and midwifery. The reference lists of retrieved articles and Internet sources and social media platforms were also examined. Results. A number of well-established, formal ways of assessment have been identified, including h-and c-indices. Changes in publication practices and the use of the Internet have challenged traditional metrics of influence. Moreover, measuring impact beyond citation metrics is an increasing focus, with social media representing newer ways of establishing performance and impact. Conclusions. Even though a number of measures exist, no single bibliometric measure is perfect. Therefore, multiple approaches to evaluation are recommended. However, bibliometric approaches should not be the only measures upon which academic and scholarly performance are evaluated.","N/A"
"Martín-Martín A.; Ayllón J.M.; López-Cózar E.D.; Orduna-Malea E.","<i>Nature</i>'s top 100 Re-revisited","2015","JOURNAL OF THE ASSOCIATION FOR INFORMATION SCIENCE AND TECHNOLOGY","10.1002/asi.23570","N/A","bibliometrics; databases; accuracy"
"I.K.P.A.A.H.I.N.D.I.. L.","AN OVERVIEW OF BIBLIOMETRICS - ITS MEASUREMENTS, LAWS AND THEIR APPLICATIONS","1985","LIBRI","N/A","N/A","N/A"
"Hammarfelt B.; Rushforth A.D.","Indicators as judgment devices: An empirical study of citizen bibliometrics in research evaluation","2017","RESEARCH EVALUATION","10.1093/reseval/rvx018","A researcher's number of publications has been a fundamental merit in the competition for academic positions since the late 18th century. Today, the simple counting of publications has been supplemented with a whole range of bibliometric indicators, which supposedly not only measures the volume of research but also its impact. In this study, we investigate how bibliometrics are used for evaluating the impact and quality of publications in two specific settings: biomedicine and economics. Our study exposes the various metrics used in external evaluations of candidates for academic positions at Swedish universities. Moreover, we show how different bibliometric indicators, both explicitly and implicitly, are employed to assess and rank candidates. Our findings contribute to a further understanding of bibliometric indicators as 'judgment devices' that are employed in evaluating individuals and their published works within specific fields. We also show how 'expertise' in using bibliometrics for evaluative purposes is negotiated at the interface between domain knowledge and skills in using indicators. In line with these results, we propose that the use of metrics we report is best described as a form of 'citizen bibliometrics'- an underspecified term which we build upon in the article.","citizen bibliometrics; economics; biomedicine; judgment devices; Journal Impact Factor; h-index"
"Pölönen J.; Hammarfelt B.","Historical bibliometrics using Google Scholar: the case of Roman law, 1500-2016","2019","17TH INTERNATIONAL CONFERENCE ON SCIENTOMETRICS & INFORMETRICS (ISSI2019), VOL II","N/A","N/A","N/A"
"Lei Y.F.; Liu Z.B.","The development of artificial intelligence: a bibliometric analysis, 2007-2016","2019","2018 INTERNATIONAL CONFERENCE ON COMPUTER INFORMATION SCIENCE AND APPLICATION TECHNOLOGY","10.1088/1742-6596/1168/2/022027","The aim of this study is to research the development of artificial intelligence in bibliometrics perspective. Bibliometrics, as one sub-field of scientometric, is an effective tool to evaluating research trends in different fields. The total number of 1188 publications between 1st January 2007 to 31, December 2016 was identified from an academic database Web of Science. In this study, yearly research output, distribution of publication by countries, most productive publication institutions, most productive authors, distribution of research field, artificial intelligence-related researches were analyzed based on bibliometrics. This study tries to provide a valuable reference for researchers to understand the development of artificial intelligence in multiple perspectives.","N/A"
"Noyons E.C.M.","Joining bibliometric forces - New developments in evaluative bibliometrics","1999","SEVENTH CONFERENCE OF THE INTERNATIONAL SOCIETY FOR SCIENTOMETRICS AND INFORMETRICS, PROCEEDINGS - 1999","N/A","N/A","N/A"
"Kaur J.; Radicchi F.; Menczer F.","On the use of sampling statistics to advance bibliometrics","2014","JOURNAL OF INFORMETRICS","10.1016/j.joi.2014.01.010","N/A","N/A"
"Repanovici A.; Koukourakis M.; Alexandrescu M.B.; Cotoros D.; Rogozea L.; Popa D.","The Level of Awareness on Scientometrics in Higher Education","2018","BOOK POWER IN COMMUNICATION, SOCIOLOGY AND TECHNOLOGY","N/A","Following the plenary lecture presentation ""Vision and Reality Regarding the Role of Bibliometrics in Scientific Research Evaluation"" at an international conference, a new scientific research was initiated. The proposed questionnaire for gathering data was created in SurveyMonkey and was sent to all participants at the conference. The responses came from all over the world: Europe, Asia, Africa, South America and United States. The level of awareness regarding the importance of bibliometrics is high enough and absolutely necessary for libraries and research evaluation. Comments and suggestions are intriguing, interesting and represent an important source of inspiration for further approaches.","Bibliometrics; scientometrics; scientific production; academic evaluation"
"V.A.N.D.A.M.M.E.. F.","ON BIBLIOMETRICS AS AN EVALUATIVE TOOL FOR SCIENTISTS","1990","COMMUNICATION AND COGNITION","N/A","N/A","N/A"
"Ahadi A.; Mathieson L.","A Bibliometrics Analysis of Australasian Computing Education Conference Proceedings","2022","PROCEEDINGS OF THE 24TH AUSTRALASIAN COMPUTING EDUCATION CONFERENCE, ACE 2022","10.1145/3511861.3511862","The Australasian Computing Education (ACE) conference is one of the key attractions for the computer science education research community, particularly in the Asia-Pacific region. Throughout its twenty three sessions, different authors representing multiple affiliations have submitted their research papers to ACE. The aim of this study is to identify the main topics that have been of interest to the ACE community and analyse the trends in topics and their evolution throughout time. We use a Bibliometrics approach to explore the metadata of all research papers published in ACE and report on the results of our analysis.","Computing education; classifying publications; bibliometrics"
"van Dellen J.R.","Surrogates Versus Fundamentals","2019","WORLD NEUROSURGERY","10.1016/j.wneu.2018.12.225","N/A","Bibliometrics; Fundamental; Odontoid fractures; Surrogate citation"
"Ochsner M.; Hug S.E.","Research Assessment and Bibliometrics: Bringing Quality Back in","2015","PROCEEDINGS OF ISSI 2015 ISTANBUL: 15TH INTERNATIONAL SOCIETY OF SCIENTOMETRICS AND INFORMETRICS CONFERENCE","N/A","N/A","N/A"
"Froghi S.; Ahmed K.; Finch A.; Fitzpatrick J.M.; Khan M.S.; Dasgupta P.","INDICATORS FOR RESEARCH PERFORMANCE EVALUATION: AN OVERVIEW","2012","BJU INTERNATIONAL","10.1111/j.1464-410X.2011.10856.x","N/A","N/A"
"Li Z.W.; Wang M.Y.; Chen Y.H.","Research on E-Commerce Course Teaching Reform: A Bibliometrics Method","2017","INTERNATIONAL CONFERENCE ON MODERN EDUCATION AND INFORMATION TECHNOLOGY (MEIT 2017)","N/A","This paper collects literatures on e-commerce reform field from CNKI databases, and utilizes bibliometrics method and visual analysis tools CiteSpace to explore the e-commerce teaching reform pattern which visualizes by knowledge map. This paper provides valuable reference for the other course teaching reform.","E-commerce; Teaching Reform; CiteSpace"
"Moppett I.K.; Hardman J.G.","Bibliometrics of anaesthesia researchers in the UK Reply","2012","BRITISH JOURNAL OF ANAESTHESIA","10.1093/bja/aer433","N/A","N/A"
"Bajwa S.S.; Mehdiratta L.","From traditional Bibliometrics to Altmetrics: Socialising the research metrics","2021","INDIAN JOURNAL OF ANAESTHESIA","10.4103/ija.ija_1058_21","N/A","N/A"
"Hunt G.E.","Making sense of bibliometrics","2011","ACTA NEUROPSYCHIATRICA","10.1111/j.1601-5215.2011.00534.x","N/A","N/A"
"Bornmann L.; Leydesdorff L.","Statistical tests and research assessments: A comment on Schneider (2012)","2013","JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY","10.1002/asi.22860","N/A","bibliometrics"
"Åström F.; Hansson J.","How implementation of bibliometric practice affects the role of academic libraries","2013","JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","10.1177/0961000612456867","This article discusses potential consequences of implementing bibliometrics as an institutionalized practice in academic libraries. Results are reported from a survey among libraries in Sweden with organized bibliometric activities. Incorporating bibliometric activities is one way of redefining and widening the role of the library. Implementation of bibliometric practice is motivated by ambitions to provide more complete scholarly communication-related services, as well as to increase the visibility and status of libraries. Underlying reasons are professional competencies such as metadata and bibliographic database management; and bibliometrics being strong within library and information science. Incorporating bibliometrics in academic libraries is also seen as a way of widening the professional profile of librarianship. The new role should, however, also be considered from the viewpoint of potential changes in how academic libraries are perceived when incorporating a monitoring function through bibliometric analyses of research performance in addition to traditional service-oriented functions.","Academic libraries; bibliometrics; profession; research evaluation; role of libraries; librarianship"
"Sang P.D.; Ma T.T.; Zhang J.Q.","Bibliometric Analysis on BIM Research in China","2013","CIVIL ENGINEERING, ARCHITECTURE AND SUSTAINABLE INFRASTRUCTURE II, PTS 1 AND 2","10.4028/www.scientific.net/AMM.438-439.1641","This paper by using theories and bibliometrics methods, researches the papers on Building Information Molding (BIM) from growth law of papers, distribution of paper authors, periodicals and keywords for the statistic and analysis with EXCEL, NOTEEXPRESS data analysis and processing tool. The research priorities and hot spots of BIM are summarized.","building Information molding; BIM; bibliometrics; bradford law"
"Similowski T.; Derenne J.P.","Bibliometrics of biomedical journals (vol 12, pg 543, 1995)","1996","REVUE DES MALADIES RESPIRATOIRES","N/A","N/A","N/A"
"Jones R.; Green E.; Hull C.; Niesner E.; Schofield P.","Making an impact: research, publications, and bibliometrics in the <i>BJGP</i>","2012","BRITISH JOURNAL OF GENERAL PRACTICE","10.3399/bjgp12X630214","N/A","N/A"
"Wszolek Z.K.; Stolarczyk L.; Slawek J.","Latest bibliometrics of Polish Journal of Neurology and Neurosurgery","2023","NEUROLOGIA I NEUROCHIRURGIA POLSKA","10.5603/pjnns.97095","N/A","N/A"
"Huang J.; Wu M.; Xu D.W.","Global trends in robotic liver surgery: From bibliometrics and visualization research","2023","ASIAN JOURNAL OF SURGERY","10.1016/j.asjsur.2023.07.005","N/A","N/A"
"Efron N.","Exploring the bibliometrics of various ophthalmic fields","2021","CLINICAL AND EXPERIMENTAL OPTOMETRY","10.1080/08164622.2021.1913044","N/A","N/A"
"Prathap G.","The Thermodynamics-Bibliometrics Consilience and the Meaning of h-Type Indices","2012","JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY","10.1002/asi.21657","N/A","N/A"
"W.A.L.L.A.C.E.. D.P.","A SOLUTION IN SEARCH OF A PROBLEM - BIBLIOMETRICS AND LIBRARIES","1987","LIBRARY JOURNAL","N/A","N/A","N/A"
"Wang P.T.; Chen G.","Research on Influence of Dataset Scale on Domain Analysis in Bibliometrics","2019","17TH INTERNATIONAL CONFERENCE ON SCIENTOMETRICS & INFORMETRICS (ISSI2019), VOL II","N/A","N/A","N/A"
"Vrabel M.","Bibliometrics and Citation Analysis: From the Science Citation Index to Cybermetrics.","2009","ONCOLOGY NURSING FORUM","10.1188/09.ONF.734-735","N/A","N/A"
"Donner P.; Schmoch U.","The implicit preference of bibliometrics for basic research (vol 124, pg 1411, 2020)","2022","SCIENTOMETRICS","10.1007/s11192-021-04181-w","N/A","N/A"
"Bornmann L.; Hug S.","Bibliometrics-based heuristics: What is their definition and how can they be studied? - Research note","2020","PROFESIONAL DE LA INFORMACION","10.3145/epi.2020.jul.20","When scientists study the phenomena they are interested in, they apply sound methods and base their work on theoretical considerations. In contrast, when the fruits of their research are being evaluated, basic scientific standards do not seem to matter. Instead, simplistic bibliometric indicators (i.e., publication and citation counts) are, paradoxically, both widely used and criticized without any methodological and theoretical framework that would serve to ground both use and critique. Recently, however Bornmann and Marewski (2019) proposed such a framework. They developed bibliometrics-based heuristics (BBHs) based on the fast-and-frugal heuristics approach (Gigerenzer; Todd; ABC Research Group, 1999) to decision making, in order to conceptually understand and empirically investigate the quantitative evaluation of research as well as to effectively train end-users of bibliometrics (e.g., science managers, scientists). Heuristics are decision strategies that use part of the available information and ignore the rest. By exploiting the statistical structure of task environments, they can aid to make accurate, fast, effortless, and cost-efficient decisions without that trade-offs are incurred. Because of their simplicity, heuristics are easy to understand and communicate, enhancing the transparency of decision processes. In this commentary, we explain several BBHs and discuss how such heuristics can be employed in practice (using the evaluation of applicants for funding programs as one example). Furthermore, we outline why heuristics can perform well, and how they and their fit to task environments can be studied. In pointing to the potential of research on BBHs and to the risks that come with an under-researched, mindless usage of bibliometrics, this commentary contributes to make research evaluation more scientific.","Bibliometrics; Heuristics; Bibliometrics-based heuristics; Research evaluation; Decision strategies"
"Cruz-Calderón S.; Nasner-Posso K.M.; Alfaro-Toloza P.; Paniz-Mondolfi A.E.; Rodriguez-Morales A.J.","A bibliometric analysis of global Ebola research","2015","TRAVEL MEDICINE AND INFECTIOUS DISEASE","10.1016/j.tmaid.2015.02.007","N/A","Ebola; Bibliometrics; Research; Global"
"M.I.Y.A.M.O.T.O.. S.; M.I.D.O.R.I.K.A.W.A.. N.; N.A.K.A.Y.A.M.A.. K.","A VIEW OF STUDIES ON BIBLIOMETRICS AND RELATED SUBJECTS IN JAPAN","1989","COMMUNICATION RESEARCH","10.1177/009365089016005005","N/A","N/A"
"Stratos I.; Scarlat M.M.; Rudert M.","Bibliometrics of orthopaedic articles published by authors of Germanophone countries","2021","INTERNATIONAL ORTHOPAEDICS","10.1007/s00264-021-05052-y","N/A","N/A"
"Stein R.; de Araújo C.G.S.","Heart, Exercise and the Brazilian Archives of Cardiology","2011","ARQUIVOS BRASILEIROS DE CARDIOLOGIA","N/A","N/A","Bibliometrics; publications; heart; exercise"
"Q.U.O.N.I.A.M.. L.; D.O.U.. H.; H.A.S.S.A.N.A.L.Y.. P.; M.I.L.L.E.. G.","BIBLIOMETRICS AND CHEMISTRY - AN EXAMPLE ON FATTY-ACIDS AND PHOSPHOLIPIDES","1991","ANALUSIS","N/A","N/A","N/A"
"Traynor M.","Bibliometrics as politics: the case of emerging disciplines","2011","INTERNATIONAL NURSING REVIEW","10.1111/j.1466-7657.2010.00874.x","Academic nurses are increasingly turning to bibliometrics to assess the state and status of research publication in nursing in countries around the world. Early bibliometric studies were carried out by Cattell as part of a project to advance research in psychology in the early decades of the 20th century. There are some echoes in nursing's moves to increase its standing over the last 40 years. The interpretation of bibliometric studies can reveal embedded values about academic disciplinary activity and normative views of scientific work. Patterns of publishing by nurse academics appear increasingly to resemble those in biomedicine as a whole.","Bibliometrics; Nursing Research; Professionalization"
"H.J.E.R.P.P.E.. R.","SUPPLEMENT TO A BIBLIOGRAPHY OF BIBLIOMETRICS AND CITATION INDEXING + ANALYSIS","1982","SCIENTOMETRICS","10.1007/BF02021064","N/A","N/A"
"W.I.N.D.S.O.R.. D.A.","DEVELOPING DRUG LITERATURES .1. BIBLIOMETRICS OF BACLOFEN AND DANTROLENE SODIUM","1975","JOURNAL OF CHEMICAL INFORMATION AND COMPUTER SCIENCES","10.1021/ci60004a010","N/A","N/A"
"Bornmann L.; Haunschild R.","Quality and impact considerations in bibliometrics: a reply to Ricker (in press)","2017","SCIENTOMETRICS","10.1007/s11192-017-2373-3","N/A","N/A"
"Chang Y.W.; Huang M.H.; Lin C.W.","Evolution of research subjects in library and information science based on keyword, bibliographical coupling, and co-citation analyses","2015","SCIENTOMETRICS","10.1007/s11192-015-1762-8","This study involved using three methods, namely keyword, bibliographic coupling, and co-citation analyses, for tracking the changes of research subjects in library and information science (LIS) during 4 periods (5 years each) between 1995 and 2014. We examined 580 highly cited LIS articles, and the results revealed that the two subjects ""information seeking (IS) and information retrieval (IR)"" and ""bibliometrics"" appeared in all 4 phases. However, a decreasing trend was observed in the percentage of articles related to IS and IR, whereas an increasing trend was identified in the percentage of articles focusing on bibliometrics. Particularly, in the 3rd phase (2005-2009), the proportion of articles on bibliometrics exceeded 80 %, indicating that bibliometrics became predominant. Combining various methods to explore research trends in certain disciplines facilitates a deeper understanding for researchers of the development of disciplines.","Library and information science; Keyword analysis; Bibliographical coupling; Co-citation"
"Prabhu V.C.; Barton K.; Pappu S.; Piedras-Renteria E.; Melian E.; Biller J.","ResearchGate; Quo Vadis?","2019","WORLD NEUROSURGERY","10.1016/j.wneu.2019.05.016","N/A","Bibliometrics; Neurosurgery; Research collaboration; ResearchGate; Social media"
"V.I.L.A.. A.G.","PEDIATRIC BIBLIOMETRICS .2. DESCRIPTIVE STATISTICS ON PEDIATRIC PERIODICALS AND PAPERS","1978","ANALES ESPANOLES DE PEDIATRIA","N/A","N/A","N/A"
"Garg K.C.; Kumar S.","Contribution of Indian women scholars to Indian output in bibliometrics/scientometrics and the pattern of co-authorship and collaboration","2019","COLLNET JOURNAL OF SCIENTOMETRICS AND INFORMATION MANAGEMENT","10.1080/09737766.2018.1564590","An analysis of 902 papers related to scientometrics and bibliometrics, published in select Indian and foreign journals by Indian authors during 1995-2014 indicate that out of 789 authors, 169 (21.4%) were women authors and remaining 620 (78.6%) were male authors. Papers authored by women scholars during 2005-2014 increased more than twice as compared to the previous decade of 1995-2004. Women authors occupied significant position in about one-third of the papers and were slightly more productive than their male counterparts at individual level. Of the total 902 papers 331 (36.7%) papers were published with domestic collaboration and their number has increased in later period. Of these 331 papers, women scholars were joint authors in 104 (31.4%) papers. Only 40 papers were published with international collaboration. CSIR-NISTADS had the highest number of papers with domestic as well as with international collaboration.","Scientometrics; Bibliometrics; Gender studies; Collaboration pattern; Co-authorship pattern; India"
"Kirby A.","<i>Current Research on Cities</i> and its contribution to urban studies","2012","CITIES","10.1016/j.cities.2011.12.004","This paper discusses the potential of bibliometrics the analysis of digital information transfer especially as it is relevant to an understanding of urban studies. It provides some examples and illustrates how the journal Current Research on Cities operates to provide meta-analysis of the field. (C) 2011 Elsevier Ltd. All rights reserved.","Bibliometrics; Urban studies; Cities; Digital information transfer; Editorial processes"
"Hayashi A.T.; Mitchell G.","Maintaining Scholarly Integrity in the Age of Bibliometrics","2019","JOURNAL OF LEGAL EDUCATION","N/A","N/A","N/A"
"Borgman C.L.","Scholarly communication and bibliometrics revisited","2000","WEB OF KNOWLEDGE - A FESTSCHRIFT IN HONOR OF EUGENE GARFIELD","N/A","N/A","N/A"
"S.E.L.L.E.N.. M.K.","BIBLIOMETRICS IN INFORMATION-SCIENCE - A CITATION ANALYSIS OF 2 ACADEMIC-LIBRARY JOURNALS","1984","COLLEGE & RESEARCH LIBRARIES","10.5860/crl_45_02_129","N/A","N/A"
"Zatorski H.; Fichna J.","Young GI angle: The role of bibliometrics in scientist's career development","2017","UNITED EUROPEAN GASTROENTEROLOGY JOURNAL","10.1177/2050640617744497","N/A","N/A"
"Jia L.; Chen M.Y.; Ma J.L.; Yu C.; Lei C.P.","RESEARCH HOTSPOTS AND TRENDS IN MEDICAL HUMANITIES BASED ON BIBLIOMETRICS","2023","MEDICINE","N/A","N/A","N/A"
"Adriaanse L.; Rensleigh C.","Research e-Visibility: Using Academia.Edu for Knowledge Sharing","2018","PROCEEDINGS OF THE 15TH INTERNATIONAL CONFERENCE ON INTELLECTUAL CAPITAL, KNOWLEDGE MANAGEMENT & ORGANISATIONAL LEARNING (ICICKM 2018)","N/A","The proliferation of academic social networking tools have created online research communities geared for accommodating and advancing the e-visibility of researchers. Research e-visibility as concept encapsulates knowledge sharing in academia by empowering researchers to embrace online research communities and platforms with online sharing and dissemination of research publications. The presence of a research e-profile on a research community becomes the vehicle for e-visibility by creating a research presence for the researcher, allowing the researcher to become more discoverable and enhancing the accessibility of the researcher's research output (share knowledge). This paper reports on the influence of altmetrics derived from Academia.edu, an academic social networking tool as example of an online research community, on the bibliometrics of the corresponding researchers' citations on Web of Science, Scopus and Google Scholar. The investigation of the e-visibility themes: research online presence, researcher discoverability and research accessibility allows for the using of the altmetrics from Academia.edu and the bibliometrics from the citation resources, to establish the altmetric-bibliometric relationships and the contribution of altmetrics and bibliometrics to evisibility. The altmetric and bibliometric data sourced from data sets (which was collected at 6-month intervals from December 2014 to December 2016), as part of a longitudinal comparative e-visibility study for participating Environmental Sciences researchers at the University of South Africa (Unisa). The altmetrics and bibliometrics data were analysed and the Spearman correlation rank coefficients calculated using SPSS software. The results indicate that there are positive correlations between the Academia.edu altmetrics and the Environmental Science researchers' bibliometrics. These correlations show that Acadmeia.edu altmetrics have a positive societal influence on the citations of the Environmental Sciences researchers. These findings recommend that environmental science researchers create and maintain a research eprofile on Academia.edu with the aim of increasing their e-visibility and enhancing knowledge sharing amongst researchers in academia. The significant contribution of the paper is to give perspective on the relationships between the altmetrics and bibliometrics for the Environmental Science researchers in South Africa.","E-visibility; Academia.edu; altmetrics; bibliometrics; altmetric-bibliometric relationships"
"Thaler M.M.; Heyman M.B.","Dedicated Bibliometrics: A More Appropriate Impact Factor for Specialty Journals?","2013","JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION","10.1097/MPG.0b013e3182a80c23","N/A","N/A"
"Ranjha K.U.; Farooq M.; Hoz S.S.","Commentary: Altmetrics Versus Bibliometrics in Neurosurgery-Finding a Balance","2024","NEUROSURGERY","10.1227/neu.0000000000002869","N/A","N/A"
"Xin G.; Zhang G.; Malone D.; Tang W.","A BIBLIOMETRICS ANALYSIS OF COST-CONSEQUENCE ANALYSIS USED IN ECONOMICAL EVALUATIONS","2019","VALUE IN HEALTH","10.1016/j.jval.2019.04.1579","N/A","N/A"
"M.A.R.S.H.A.K.O.V.A.S.H.A.I.K.E.V.I.C.H.. I.V.","BIBLIOMETRICS AS A RESEARCH TECHNIQUE IN EPISTEMOLOGY AND PHILOSOPHY OF SCIENCE","1993","INTERNATIONAL FORUM ON INFORMATION AND DOCUMENTATION","N/A","N/A","N/A"
"Sun N.N.; Song X.Z.; Chen W.Y.","STUDY ON THE DEVELOPMENT TREND OF BIOMEDICAL ENGINEERING BASED ON BIBLIOMETRICS","2017","BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY","N/A","N/A","N/A"
"Muñoz-Perez F.","Derivatives of the evaluation of research. The proper use of bibliometrics","2014","POPULATION","N/A","N/A","N/A"
"Kortelainen T.","Compatibility and audience: Applying a concept of diffusion research in bibliometrics","1996","COLIS 2 - SECOND INTERNATIONAL CONFERENCE ON CONCEPTIONS OF LIBRARY AND INFORMATION SCIENCE: INTEGRATION IN PERSPECTIVE, PROCEEDINGS","N/A","N/A","N/A"
"De Visscher A.","The Thermodynamics-Bibliometrics Consilience and the Meaning of h-Type Indices - Reply","2012","JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY","10.1002/asi.21675","N/A","N/A"
"Thelwall M.","Bibliometrics and Citation Analysis: From the Science Citation Index to Cybermetrics","2009","LIBRARY & INFORMATION SCIENCE RESEARCH","10.1016/j.lisr.2009.04.002","N/A","N/A"
"Goarant C.; Picardeau M.; Morand S.; McIntyre K.M.","Leptospirosis under the bibliometrics radar: evidence for a vicious circle of neglect","2019","JOURNAL OF GLOBAL HEALTH","10.7189/jogh.09.010302","N/A","N/A"
"Freitas R.; Faria S.S.; Paulinelli R.R.; Ferreira N.C.","Bibliometrics trends in oncoplastic surgery and breast reconstruction from 1980 to 2016","2018","EUROPEAN JOURNAL OF CANCER","N/A","N/A","N/A"
