AU	TI	PY	SO	DI	AB	DE
huang c.; yang c.; wang s.t.; wu w.; su j.; liang c.y.	evolution of topics in education research: a systematic review using bibliometric analysis	2020	educational review	10.1080/00131911.2019.1566212	education research tends to exhibit interdisciplinary and multidisciplinary characteristics. based on the subject areas in google scholar, within the 51 disciplines under social sciences, nine subjects are directly related to education (early childhood education, education, educational administration, educational psychology & counselling, educational technology, higher education, science & engineering education, special education, teaching & teacher education). the interdisciplinary and multidisciplinary characteristics of education research make it difficult for researchers to identify the overall development of specific topics within the field. in this paper, we first collect core papers from the field of education. then, we construct keyword co-occurrence networks using these papers. finally, based on the density distribution of keyword co-occurrence networks, we analyse changes in network density at each stage of educational research. last, we identify the development trends of core topics in the education field. our main contribution is the quantitative methodological design for examining the hot topics and evolution of education research, which is highly multidisciplinary and covers a large volume of publications.	education research; topic evolution analysis; bibliometrics; keyword co-occurrence network
liu h.; hong r.; xiang c.l.; lv c.; li h.h.	visualization and analysis of mapping knowledge domains for spontaneous combustion studies	2020	fuel	10.1016/j.fuel.2019.116598	to better grasp developments and trends in research on spontaneous combustion disasters around the world and to promote theoretical research into their prevention and control, research progress on spontaneous combustion disasters is reviewed and analyzed using bibliometrics based on a total of 2,313 publications collected from the web of science core collection database. yearly quantitative distribution of literature, country/region distribution, organization distribution, main source journal distribution, subject category distribution, research knowledge bases, and research hotspots and frontiers are all analyzed, and citespace and vosviewer are used to plot knowledge domain maps. the results show that the number of papers on spontaneous combustion studies has grown exponentially, that china, the usa, russia, japan, germany, australia and england are the most active countries in spontaneous combustion studies, but results from the usa are the most influential, and that fuel, c&f, jlppi, ijhe, ijcg and e&f are the main sources of published research on spontaneous combustion. at present, a framework for the basic theory and research methods is complete, but the research network is too centralized, and there are few frontier branches. thermodynamics research, disaster numerical simulation, and prevention and retardation technology are the main knowledge bases for spontaneous combustion studies. research on spontaneous combustion disasters has expanded from the macro level to the micro scale. thermodynamics analysis, mechanisms to inhibit spontaneous combustion, early warning methods and emergency rescue technology have become research frontiers.	spontaneous combustion; mapping knowledge domains; visualization; bibliometric analysis; evolution path
romero l.; portillo-salido e.	trends in sigma-1 receptor research: a 25-year bibliometric analysis	2019	frontiers in pharmacology	10.3389/fphar.2019.00564	purpose: there are previous reviews focused on sigma-1 receptor but no bibliometric studies examining this field as a whole. this article aims to present a global view of sigma-1 receptor research and its intellectual structure. methods: we used bibliometric indicators of a basic nature as well as techniques for the visualization and analysis of networks of scientific information extracted from scopus database. results: in total, 1,102 articles from 1992 to 2017 were identified. the growth in the production of articles is not constant over time, with periods of stagnation of approximately 5 years. only 247 authors have five or more publications. the authors appear grouped in relatively independent clusters, thus suggesting a low level of collaborations between those dedicated to the sigma-1 receptor. the united states was the country with the highest production followed by japan and germany. spain, japan, and italy showed the highest per million inhabitants ratio. the highest citation/article ratio was reached in france, united states, and canada. the leading institutions were the university of munster, the national institutes of health, esteve, and inserm. the top authors in number of publications were wunsch-b, schepmann-d, and mauricet. hayashi-t, su-tp and bowen-wd showed the highest citations per article. the article by hayashi-t and su-tp in cell (2007) describing the sigma-1 receptor as a chaperone protein is the top cited reference. cluster labeling from author co-citation analysis shows that research has been focused on specific diseases such as addiction, neuroprotection and neurodegenerative diseases, psychiatric disorders, and pain. high-frequency terms in author keywords suggest that the research efforts in some areas such as neuroimaging, cocaine addiction or psychiatric disorders have declined over time, while others such as neurodegenerative diseases or pain are currently most popular. perspective: a greater involvement of the scientific community, with an increase in the scientific production related to sigma-1, is desirable. additional boost needed to improve research performance is likely to come from combining data from different laboratories to overcome the limitations of individual approaches. the resulting maps are a useful and attractive tool for the sigma-1 receptor research community, as they reveal the main lines of exploration at a glance.	sigma-1 receptor; bibliometrics; scopus; vosviewer; co-occurrence analysis; co-citation analysis; co-authorship analysis
purkayastha a.; palmaro e.; falk-krzesinski h.j.; baas j.	comparison of two article-level, field-independent citation metrics: field-weighted citation impact (fwci) and relative citation ratio (rcr)	2019	journal of informetrics	10.1016/j.joi.2019.03.012	we reproduce the article-level, field-independent citation metric relative citation ratio (rcr) using the scopus database, and extend it beyond the biomedical field to all subject areas. we compare the rcr to the field-weighted citation impact (fwci), also an article-level, field-normalised metric, and present the first results of correlations, distributions and application to research university benchmarking for both metrics. our analyses demonstrate that fwci and rcr of articles correlate with varying strengths across different areas of research. additionally, we observe that both metrics are comparably stable across different subject areas of research. moreover, at the level of universities, both metrics correlate strongly. (c) 2019 the authors. published by elsevier ltd.	bibliometrics; fwci; rcr; citation impact; article-level; field-normalisation; field-normalization; research metrics
rosenkrantz a.b.; ayoola a.; singh k.; duszak r.	allternative metrics (altmetrics) for assessiing artricle impact in populer general radiology journals	2017	academic radiology	10.1016/j.acra.2016.11.019	rationale and objectives: emerging alternative metrics leverage social media and other online platforms to provide immediate measures of biomedical articles' reach among diverse public audiences. we aimed to compare traditional citation and alternative impact metrics for articles in popular general radiology journals. materials and methods: all 892 original investigations published in 2013 issues of academic radiology, american journal of roentgenology, journal of the american college of radiology, and radiology were included. each article's content was classified as imaging vs nonimaging. traditional journal citations to articles were obtained from web of science. each article's altmetric attention score (altmetric), representing weighted mentions across a variety of online platforms, was obtained from altmetric.com. statistical assessment included the mcnemar test, the mann-whitney test, and the pearson correlation. results: mean and median traditional citation counts were 10.7 +/- 15.4 and 5 vs 3.3 +/- 13.3 and 0 for altmetric. among all articles, 96.4% had traditional citation vs 41.8% for altmetric (p < 0.001). online platforms for which at least 5% of the articles were represented included mendeley (42.8%), twitter (34.2%), facebook (10.7%), and news outlets (8.4%). citations and altmetric were weakly correlated (r = 0.20), with only a 25.0% overlap in terms of articles within their top 10th percentiles. traditional citations were higher for articles with imaging vs nonimaging content (11.5 +/- 16.2 vs 6.9 +/- 9.8, p < 0.001), but altmetric scores were higher in articles with nonimaging content (5.1 +/- 11.1 vs 2.8 +/- 13.7, p = 0.006). conclusions: although overall online attention to radiology journal content was low, alternative metrics exhibited unique trends, particularly for nonclinical articles, and may provide a complementary measure of radiology research impact compared to traditional citation counts.	bibliometrics; biomedical journals; social media; metrics
fox c.w.; paine c.e.t.; sauterey b.	citations increase with manuscript length, author number, and references cited in ecology journals	2016	ecology and evolution	10.1002/ece3.2505	most top impact factor ecology journals indicate a preference or requirement for short manuscripts; some state clearly defined word limits, whereas others indicate a preference for more concise papers. yet evidence from a variety of academic fields indicates that within journals longer papers are both more positively reviewed by referees and more highly cited. we examine the relationship between citations received and manuscript length, number of authors, and number of references cited for papers published in 32 ecology journals between 2009 and 2012. we find that longer papers, those with more authors, and those that cite more references are cited more. although paper length, author count, and references cited all positively covary, an increase in each independently predicts an increase in citations received, with estimated relationships positive for all the journals we examined. that all three variables covary positively with citations suggests that papers presenting more and a greater diversity of data and ideas are more impactful. we suggest that the imposition of arbitrary manuscript length limits discourages the publication of more impactful studies. we propose that journals abolish arbitrary word or page limits, avoid declining papers (or requiring shortening) on the basis of length alone (irrespective of content), and adopt the philosophy that papers should be as long as they need to be.	bibliometrics; citation analysis; journal guidelines; research impact; scientific publication
osterloh m.; frey b.s.	ranking games	2015	evaluation review	10.1177/0193841x14524957	background: research rankings based on bibliometrics today dominate governance in academia and determine careers in universities. method: analytical approach to capture the incentives by users of rankings and by suppliers of rankings, both on an individual and an aggregate level. result: rankings may produce unintended negative side effects. in particular, rankings substitute the taste for science by a taste for publication. we show that the usefulness of rankings rests on several important assumptions challenged by recent research. conclusion: we suggest as alternatives careful socialization and selection of scholars, supplemented by periodic self-evaluations and awards. the aim is to encourage controversial discourses in order to contribute meaningful to the advancement of science.	academic governance; rankings; motivation; selection; socialization
lopez-cozar e.d.; caballero r.r.	the impact of scientific journals of communication: comparing google scholar metrics, web of science and scopus	2013	comunicar	10.3916/c41-2013-04	google scholar metrics' launch in april 2012, a new bibliometric tool for the evaluation of scientific journals by means of citation counting, has ended with the duopoly exerted by the web of science and scopus databases. this paper aims at comparing the coverage of these three databases and the similarity their journal rankings may have. we selected a sample of journals from the field of communication studies indexed in the three databases. data was recollected on 17-20 november, 2012. 277 journals were identified to which we calculated their h-index and ranked them according to such indicator. then, we analyzed the correlation between the rankings generated. google scholar metrics dobles the coverage of the other databases, reducing the bias toward english language both; web of science and scopus have. google scholar metrics shows higher h-index values (an average 47% higher than scopus and 40% higher than web of science), allowing to better rank journals. we conclude that google scholar metrics is a tool capable of identifying the main journals in communication studies offering results as reliable and valid as the ones web of science and scopus show.	communication; google scholar; scopus; web of science; citations analysis; bibliometrics; h index; ranking
wagstaff a.; culyer a.j.	four decades of health economics through a bibliometric lens	2012	journal of health economics	10.1016/j.jhealeco.2012.03.002	in this paper, we take a bibliometric tour of the last forty years of health economics using bibliographic metadata from econlit supplemented by citation data from google scholar and our own topical classifications. we report the growth of health economics (we find 33,000 publications since 1969-12,000 more than in the economics of education) and list the 300 most-cited publications broken down by topic. we report the changing topical and geographic focus of health economics (the topics 'determinants of health and ill-health' and 'health statistics and econometrics' both show an upward trend, and the field has expanded appreciably into the developing world). we also compare authors, countries, institutions and journals in terms of the volume of publications and their influence as measured through various citation-based indices (grossman, the us, harvard and the jhe emerge close to or at the top on a variety of measures). (c) 2012 world bank. published by elsevier b.v. all rights reserved.	health economics; bibliometrics; history of economic thought
agarwal p.; searls d.b.	can literature analysis identify innovation drivers in drug discovery?	2009	nature reviews drug discovery	10.1038/nrd2973	drug discovery must be guided not only by medical need and commercial potential, but also by the areas in which new science is creating therapeutic opportunities, such as target identification and the understanding of disease mechanisms. to systematically identify such areas of high scientific activity, we use bibliometrics and related data-mining methods to analyse over half a terabyte of data, including pubmed abstracts, literature citation data and patent filings. these analyses reveal trends in scientific activity related to disease studied at varying levels, down to individual genes and pathways, and provide methods to monitor areas in which scientific advances are likely to create new therapeutic opportunities.	
kajikawa y.; takeda y.	structure of research on biomass and bio-fuels: a citation-based approach	2008	technological forecasting and social change	10.1016/j.techfore.2008.04.007	biomass and bio-fuels have gained a growing interest as sustainable and renewable energy. in this paper, we perform a citation network analysis of scientific publications to know the current structure of biomass and bio-fuel research. by clustering and visualizing the network, we revealed their taxonomic structure. emerging technologies are detected by analyzing the average publication year of clusters. according to the results, bio-diesel and hydrogen production are the most rapidly developing domains among biomass bio-fuel researches. we also analyzed the position of each cluster in the global structure of research. by using citation counts within and out of the cluster, we categorized each cluster into the following four categories: (i) topic specific; (ii) domain specific; (iii) global link; and (iv) specific & global. for research domains of category (iii) or (iv), it is difficult that single technology overcomes the current limitation of bio-energy productions. research on lignocellulose feedstock is a typical case where knowledge from other scientific disciplines is necessary. (c) 2008 elsevier inc. all rights reserved.	biomass; bio-fuel; citation network; bibliometrics; sustainable energy; renewable energy
kostoff r.n.; koytcheff r.g.; lau c.g.y.	global nanotechnology research literature overview	2007	technological forecasting and social change	10.1016/j.techfore.2007.04.004	text mining was used to extract technical intelligence from the open source global nanotechnology and nanoscience research literature (sci/ssci databases). identified were: (1) the nanotechnology/nanoscience research literature infrastructure (prolific authors, key journals/institutions/countries, most cited authors/journals/documents); (2) the technical structure (pervasive technical thrusts and their inter-relationships); (3) nanotechnology instruments and their relationships; (4) potential nanotechnology applications, (5) potential health impacts and applications; and (6) seminal nanotechnology literature. our results are summarized in this paper. published by elsevier inc.	nanoparticle; nanotube; nanotechnology; text mining; bibliometrics; document clustering
fu h.l.; wang m.m.; li p.; jiang s.; hu w.; guo x.t.; cao m.	tracing knowledge development trajectories of the internet of things domain: a main path analysis	2019	ieee transactions on industrial informatics	10.1109/tii.2019.2929414	the internet of things (iot), as an important technical domain in the future, has received wide attention globally from different disciplines. the research output in this domain, therefore, grew rapidly in the past ten years. this article deeply investigates the knowledge base and knowledge development trajectory of the domain since the iot was proffered in 1999. by adopting basic statistical and keyword cooccurrence methods, the most influential countries, institutions, journals, and scholars in the domain, as well as the division of core, hot keywords, and subdomains, are investigated. by using the main path analysis method, a survey is conducted on the development trajectory of the domain on the basis of knowledge inheritance; the four core branches-industry, big data, cloud computing, and iot security; and the three application studies of industry, healthcare, and smart city.	internet of things; software algorithms; trajectory; software; bibliometrics; standards; informatics; internet of things; knowledge development; main path analysis; scientometric
modak n.m.; merigo j.m.; weber r.; manzor f.; ortuzar j.d.	fifty years of transportation research journals: a bibliometric overview	2019	transportation research part a-policy and practice	10.1016/j.tra.2018.11.015	transportation research (tr) was established in 1967 with the vision of promoting multi-disciplinary (economics, engineering, sociology, psychology) research on transport systems. the journal has continuously expanded its wings becoming a world-leading journal, now publishing research work through six parts, a to f, respectively addressing policy and practice, methodological, emerging technologies, transport and environment, logistics and transportation review, and traffic psychology and behaviour. this study aims to celebrate the first half century of the journal through a bibliometric study of the publications on all six parts between 1967 and 2016. it uses the most reliable database for academic research, the web of science core collection, to identify the leading trends in all tr journals in terms of impact, topics, authors, universities, and countries. moreover, it uses the visualization of similarities (vos) viewer software to analyse bibliographic coupling, co-citation, citation, co-authorship, and co-occurrence of keywords.	bibliometrics; transportation research; web of science; vos viewer
sweileh w.m.	research trends on human trafficking: a bibliometric analysis using scopus database	2018	globalization and health	10.1186/s12992-018-0427-9	backgroundhuman trafficking is a crime against humanity. it is also a serious threat to global health and security. globalization has made human trafficking an easier task for the criminal organizations. no data are available on the volume, research trends, and key players in this field. therefore, the aim of this study was to assess the research activity and research trends on human trafficking.methodsa bibliometric method was adopted. literature published in academic journals indexed in scopus database was retrieved. the study period was set from 2000 to 2017.resultstwo thousand forty-four documents were retrieved. the average number of authors per document was 1.9. over one third (n=771; 37.7%) of the retrieved documents were about sex trafficking, 616 (30.1%) were about labor trafficking/forced labor, 199 (9.7%) were about child trafficking, and 138 (6.8%) were about organ trafficking. one third (n=707; 34.6%) of the documents were in health-related fields while 1526 (74.7%) were in social sciences and humanities. the usa ranked first (n=735; 36.0%) regarding the number of published documents. geographic distribution of the retrieved document showed that world regions with a high prevalence of human trafficking had the least research contribution. international research collaboration has a limited contribution to the retrieved literature. the harvard university (usa) was the most active institution (n=39; 1.9%). international migration (n=35; 1.7%) was the most active journal in publishing documents on ht. documents published in transplantation journal received the highest number of citations per document (25.5) and two of the most cited documents were about organ trafficking.conclusionthere was an under-representation of health-related literature on human trafficking. literature on sex trafficking dominated the field of human trafficking. research networks and research collaboration between the source and destination countries is important. future research plans need to focus on health issues and on exploited/trafficked laborers.	human trafficking; bibliometrics; research analysis; global health
cancino c.a.; merigo j.m.; coronado f.c.	a bibliometric analysis of leading universities in innovation research	2017	journal of innovation & knowledge	10.1016/j.jik.2017.03.006	the number of innovation studies with a management perspective has grown considerably over the last 25 years. this study identified the universities that are most productive and influential in innovation research. the leading innovation research journals were also studied individually to identify the most productive universities for each journal. data from the web of science were analyzed. studies that were published between 1989 and 2013 were filtered first by the keyword innovation and second by 18 management-related research areas. the results indicate that us universities are the most productive and influential because they account for the most publications with a high number of citations and high-h-index. following advances in the productivity of numerous european journals, however, universities from the uk and the netherlands are the most involved in publishing in journals that specialize in innovation research. (c) 2017 journal of innovation & knowledge. published by elsevier espana, s.l.u.	innovation; bibliometrics; university analysis; web of science
liu y.; qu y.; lei z.; jia h.	understanding the evolution of sustainable consumption research	2017	sustainable development	10.1002/sd.1671	in recent years, the problem triad of population, environment and development has been joined by the added element of consumption, with a consequent boom in studies on sustainable consumption. this study provides a holistic and quantitative overview of these studies, aiming to track the evolution of research on sustainable consumption, and identify the key authors and co-authorship network. using the bibliometric method and network analysis, this study traces the development of the research themes at hand, and the research network concerned with them, through the analysis of core literature and journals dated 1995-2014. the findings highlight that the research on sustainable consumption can be divided into two periods. these findings clearly illustrate that sustainable consumption has evolved from being a single practice-oriented research topic into diverse topics studied in a systematized manner, involving the key factors of sustainability, consumption behavior, energy utilization and environmental impact. copyright (c) 2017 john wiley & sons, ltd and erp environment	sustainable consumption; consumption behavior; bibliometrics; network analysis
nguyen t.v.; ho-le t.p.; le u.v.	international collaboration in scientific research in vietnam: an analysis of patterns and impact	2017	scientometrics	10.1007/s11192-016-2201-1	the present study sought to examine the trend and impact of international collaboration in scientific research in vietnam during the period after the introduction of the a reform policy and the normalization of relations with the united states. using the thomson reuters' web of science data (2001-2015) we found that 77% of vietnam's scientific output (n = 18,044 papers) involved international collaborations, with the united states and japan researchers being the most frequent partners. the proportion of international collaborations has decreased slightly over time at the expense of an increased rate of domestic collaborations. the rate of growth in vietnam's scientific output was 17% per annum, and three-quarters of the growth was associated with international collaborations rather than purely domestic production. moreover, internationally coauthored papers received twice the average citation as domestic papers. of note, papers with overseas corresponding author had higher citation rate than papers with domestic corresponding author. these data suggest that the vast majority of scientific papers from vietnam was attributable to international collaboration, and this had a positive impact on the quality and visibility of vietnam science. the data also indicate that vietnam is in the growth phase of building up research capacity.	vietnam; developing country; country effects; bibliometrics; international collaboration; citation rate; journal impact factor
song k.; kim k.s.; lee s.	discovering new technology opportunities based on patents: text-mining and f-term analysis	2017	technovation	10.1016/j.technovation.2017.03.001	discovering new technology opportunities has long been a significant issue in both practice and academia. among various approaches to search for opportunities, one of the most frequently used is to identify emerging or vacant technologies from patent documents. in line with it, this study aims to suggest a novel approach for the development of new technology ideas based on the f-term, which classifies patent documents according to the technical attributes of the inventions described within them. since the technical attributes are analyzed according to various perspectives through the application of the f-term, which generates detailed and systematic information about technologies, the f-term can provide effective guidelines for generating new technology ideas, if utilized well. in the approach, we first choose a target technology for seeking new opportunities. then, from the text mining results of the f-term data, we identify other technologies with technical attributes similar to the target technology, called reference technologies. the next step is to extract technical attributes that are commonly used in the reference technologies but have not been used in the target technology. finally, we can obtain new technology ideas by applying these technical attributes to the target technologies. this is one of the earliest attempts to adopt the f-term for patent analysis; the proposed methodology can show how to best take advantage of the f-term and the wealth of available technical information in patents, and also can be useful in the idea-creation process for major and minor innovation.	new technology ideas; patent analysis; f-term; text-mining; technology opportunity
frandsen t.f.; nicolaisen j.	what is in a name? credit assignment practices in different disciplines	2010	journal of informetrics	10.1016/j.joi.2010.06.010	the paper reviews the literature on disciplinary credit assignment practices, and presents the results of a longitudinal study of credit assignment practices in the fields of economics, high energy physics, and information science. the practice of alphabetization of authorship is demonstrated to vary significantly between the fields. a slight increase is found to have taken place in economics during the last 30 years (1978-2007). a substantial decrease is found to have taken place in information science during the same period. high energy physics is found to be characterised by a high and stable share of alphabetized multi-authorships during the investigated period (1990-2007). it is important to be aware of such disciplinary differences when conducting bibliometric analyses. (c) 2010 elsevier ltd. all rights reserved.	credit assignment; alphabetization; authorship; multi-authorship; bibliometrics
fu l.d.; aliferis c.f.	using content-based and bibliometric features for machine learning models to predict citation counts in the biomedical literature	2010	scientometrics	10.1007/s11192-010-0237-1	the most popular method for judging the impact of biomedical articles is citation count which is the number of citations received. the most significant limitation of citation count is that it cannot evaluate articles at the time of publication since citations accumulate over time. this work presents computer models that accurately predict citation counts of biomedical publications within a deep horizon of 10 years using only predictive information available at publication time. our experiments show that it is indeed feasible to accurately predict future citation counts with a mixture of content-based and bibliometric features using machine learning methods. the models pave the way for practical prediction of the long-term impact of publication, and their statistical analysis provides greater insight into citation behavior.	bibliometrics; citation analysis; machine learning; information retrieval
qiao g.h.; ding l.; zhang l.l.; yan h.l.	accessible tourism: a bibliometric review (2008-2020)	2022	tourism review	10.1108/tr-12-2020-0619	purpose the purpose of this paper is to reveal the knowledge evolution process, research hotspots and future trends in the accessible tourism research literature from 2008 to 2020. design/methodology/approach a total of 213 articles on accessible tourism were selected from the core collection database of web of science (wos) and analyzed using citespace. findings over the 13-year period between 2008 and 2020, an increasing number of studies have been published concerning accessible tourism, but the overall base is still small. the research content mainly includes six modules. among institutions, the university of technology sydney has published the largest number of papers. cooperation among countries involves the usa, the united kingdom, australia, portugal and china. tourism management is the leading journal for disseminating research on accessible tourism. definition of accessible tourism and the different scope of this phenomenon are re-discussed. in recent years, experience and participation have become the new favorites in accessible tourism research, which could reveal insights into future research directions. research limitations/implications the sampling frame was defined in terms of the wos database and even though this is an important database for global academic information, in the big data era, the authors may have to integrate information from multiple sources to comprehensively reveal and understand knowledge maps. second, because of the operational constraints of the citespace software, the authors only selected outputs published in peer-reviewed journals, excluding other published works, such as books and conference papers. finally, because of the language restrictions of the authors, this research is limited to journals published in the english language. practical implications practically, the results of this study made a conclusion of accessible tourism research so that the researchers can easily know what has currently been done and what future research can do. tourism managers can also understand the demands and the constraints of tourism for the people who have barriers to travel. they can supply more specific products for the accessible tourism and further promote the construction of barrier-free travel environments. originality/value this paper unifies the literature on senior tourism and people with disabilities tourism, and uses citespace to construct data and network visualizations, including a burst and dynamic analysis for the period covered by the sample. furthermore, this paper proposed a more diversified accessible tourism.	senior; bibliometrics; accessible tourism; people with disability; citespace
usman m.; ho y.s.	a bibliometric study of the fenton oxidation for soil and water remediation	2020	journal of environmental management	10.1016/j.jenvman.2020.110886	fenton based treatments have received tremendous attention in the recent decades as viable strategies for soil and water remediation. there exist different processes associated to the fenton oxidation. efficiency, reaction chemistry, and environmental consequences of these processes vary according to the iron (fe) activation techniques such as soluble fe(ii) (homogeneous fenton process), soluble fe(ii) and chelating agent (modified-fenton), fe minerals or solids (heterogeneous fenton), iron and uv light (photo-fenton) and electro-fenton oxidation. despite immense amount of research articles and reviews related to the fenton oxidation, no bibliometric study of this topic has been published to our knowledge. bibliometric studies provide a useful means to track research output and scholarly trends in a field. here, we conducted a bibliometric study of the publications on this theme (>4000 documents) published during the past three decades available from the science citation index expanded (sci-expanded) database of the web of science core collection (clarivate analytics). based on the bibliometric analysis of 4349 documents, various essential research indicators were described such as the type and language of publications, the most prominent authors in this theme, the most impactful articles, research categories, journals, institutions, and the countries, that have made the greatest contribution to this theme along with potential research hotspots. this bibliometric study allowed visualization of the current landscape and future trends in this field to facilitate the future collaborative research and exchange of knowledge.	bibliometrics; advanced oxidation processes; fenton oxidation; soil remediation; water treatment; wastewater treatment
chanchetti l.f.; leiva d.r.; de faria l.i.l.; ishikawa t.t.	a scientometric review of research in hydrogen storage materials	2020	international journal of hydrogen energy	10.1016/j.ijhydene.2019.06.093	hydrogen is a promising sustainable energy carrier for the future due to its high energetic content and no emissions, other than water vapor. however, its full deployment still requires technological advances in the renewable and cost-effective production of hydrogen, cost reduction of fuel cells and especially in the storage of hydrogen.in a lightweight, compact and safe manner. one way to achieve this is by using materials in which hydrogen bonds chemically, or by adsorption. different kinds of hydrogen storage materials have been investigated, such as metal-organic frameworks (mofs), simple hydrides (including magnesium hydride, mgh2), abs alloys, ab(2) alloys, carbon nanotubes, graphene, borohydrides, alanates and ammonia borane. billions have been invested in storage materials research, resulting in tens of thousands of papers. thus, it is challenging to track how much effort has been devoted to each materials class, by which countries, and how the field has evolved over the years. quantitative science and technology indicators, produced by applying bibliometrics and text mining to scientific papers, can aid in achieving this task. in this work, we evaluated the evolution and distribution of hydrogen storage materials research using this methodology. papers in the 2000-2015 period were collected from web of science and processed in vantagepoint (r) bibliometric software. a thesaurus was elaborated relating keywords and short phrases to specific hydrogen storage materials classes. the number of publications in hydrogen storage materials grew markedly from 2003 to 2010, reducing the pace of growth afterwards until a plateau was reached in 2015. the most researched materials were mofs, simple hydrides and carbon-based materials. there were three typical trends in materials classes: emerging materials, developed after 2003, such as mofs and borohydrides; classical materials with continuous growth during the entire period, such as simple hydrides; and stagnant or declining materials, such as carbon nanotubes and ab(5) alloys. the main publishing countries were china, countries from the european union (eu) and the usa, followed by japan. there is a division between countries with continued growth in recent years, such as china, and those with stagnant production after 2010, such as the eu, the usa and japan. the results of this work, compared to a previous study in storage materials patenting by our group, and the recent launch of commercial hydrogen cars and trains and stationary hydrogen production and fuel cell solutions, indicates that although the hydrogen energy field as a whole is transitioning from lab and prototype stages to commercial deployment, materials-based hydrogen storage still has base technological challenges to be overcome, and therefore still needs more scientific research before large scale commercialization can be realized. the developed thesaurus is made available for refinement and future works. (c) 2019 hydrogen energy publications llc. published by elsevier ltd. all rights reserved.	hydrogen storage; technological forecasting; bibliometrics; scientometrics; science and technology indicators
nielsen m.w.	gender inequality and research performance: moving beyond individual-meritocratic explanations of academic advancement	2016	studies in higher education	10.1080/03075079.2015.1007945	academic debates addressing the persistent gender gap in science reveal considerable contestation of the relevance and extent of the problem. particular attention has been given to the question of whether women's high attrition rates should be ascribed to the structural and cultural barriers inherent to the academic system or instead individualistic matters, such as personal motivation, performance and merit. in order to contribute to a more nuanced understanding of this particular issue, this cross-sectional bibliometric study investigates the link between gender and research performance in the danish context. more specifically, it compares the citation and self-citation rates, source normalized impact per publication scores and collaborative patterns of 3293 male and female researchers at a danish university and provides evidence challenging the widespread assumption of a persistent performance gap in favour of male researchers. the result has implications for research organizations and managers, as it raises concerns about the validity of individual-meritocratic explanations of the skewed gender distributions in academia.	perceptions of inequality; meritocracy; women in science; bibliometrics; citation analysis; scientific performance
nakamura h.; suzuki s.; sakata i.; kajikawa y.	knowledge combination modeling: the measurement of knowledge similarity between different technological domains	2015	technological forecasting and social change	10.1016/j.techfore.2014.09.009	this paper proposes the db-combination model that considers three different knowledge combinations in depth (d) and breadth (b) based on similarities of two technological knowledge domains. we also investigate three methodologies a1, a2 and a3 to highlight the three knowledge combinations. to identify technological knowledge domains, citation analysis on patent information was used for a1 and a2 and pre-existing patent classification analysis was used for a3. and to measure the similarity between identified technological knowledge domains, text similarity measurements, existing intra-industrial citation tracing and ipc share similarity comparison were used for a1, a2 and a3 respectively. the usability of the model and methodologies were demonstrated through a case study on technological knowledge of the automobile industry and the aircraft industry. while these methodologies still need to be improved, it was demonstrated that the three measurements can highlight candidates of the three knowledge combination proposed in db-combination model. this research contributes to accelerate breadth knowledge recombination in a complex technology industry. (c) 2014 elsevier inc. all rights reserved.	patent analysis; citation analysis; bibliometrics; breadth search; knowledge recombination
rosas s.r.; kagan j.m.; schouten j.t.; slack p.a.; trochim w.m.k.	evaluating research and impact: a bibliometric analysis of research by the nih/niaid hiv/aids clinical trials networks	2011	plos one	10.1371/journal.pone.0017428	evaluative bibliometrics uses advanced techniques to assess the impact of scholarly work in the context of other scientific work and usually compares the relative scientific contributions of research groups or institutions. using publications from the national institute of allergy and infectious diseases (niaid) hiv/aids extramural clinical trials networks, we assessed the presence, performance, and impact of papers published in 2006-2008. through this approach, we sought to expand traditional bibliometric analyses beyond citation counts to include normative comparisons across journals and fields, visualization of co-authorship across the networks, and assess the inclusion of publications in reviews and syntheses. specifically, we examined the research output of the networks in terms of the a) presence of papers in the scientific journal hierarchy ranked on the basis of journal influence measures, b) performance of publications on traditional bibliometric measures, and c) impact of publications in comparisons with similar publications worldwide, adjusted for journals and fields. we also examined collaboration and interdisciplinarity across the initiative, through network analysis and modeling of co-authorship patterns. finally, we explored the uptake of network produced publications in research reviews and syntheses. overall, the results suggest the networks are producing highly recognized work, engaging in extensive interdisciplinary collaborations, and having an impact across several areas of hiv-related science. the strengths and limitations of the approach for evaluation and monitoring research initiatives are discussed.	
